time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
75,126.2,19,308.08651957999996,38912,516,0.001,0.006138973403722048,1.0,0.9553710855543613,0.8953273892402649,18,0.04567933455109596,22.821703171730043
79,129.11,20,314.71492159,40960,512,0.001,0.003728011855855584,1.0,0.953736674040556,0.872471034526825,19,0.03450321406126022,29.70437717437744
84,133.64,21,328.55190827999996,43008,510,0.001,0.004748662933707237,1.0,0.9120712429285049,0.8718221783638,20,0.04909908026456833,57.26599134206772
88,136.45,22,339.3156987699999,45056,511,0.001,0.006867922842502594,1.0,0.9083487242460251,0.867210865020752,21,0.046039968729019165,68.87835337519645
92,137.67,23,347.05471847999996,47104,508,0.001,0.00463035749271512,1.0,0.968461737036705,0.8740198016166687,22,0.041894637048244476,18.321564787626265
96,142.43,24,366.51833799,49152,506,0.001,0.004911651834845543,1.0,0.9517432563006878,0.8589803576469421,23,0.03618292510509491,26.30079365372658
101,147.0,25,383.67883835,51200,504,0.001,0.005198666825890541,1.0,0.9382673017680645,0.854846715927124,24,0.041798848658800125,22.26851593852043
104,147.97,26,389.35120999,53248,507,0.001,0.005718301981687546,1.0,0.9385213740170002,0.8500223755836487,25,0.04420411214232445,37.88969300985336
109,150.13,27,399.99438753000004,55296,504,0.001,0.004626233130693436,1.0,0.9597058296203613,0.8368714451789856,26,0.04386929050087929,26.534446430206298
115,154.44,28,416.51796474,57344,498,0.001,0.006244335789233446,1.0,0.9217111766338348,0.8303850293159485,27,0.04136519134044647,68.50681385397911
118,156.17,29,422.74996878999997,59392,500,0.001,0.004488349426537752,1.0,0.9730709884315729,0.8231334090232849,28,0.048388753086328506,18.922406870126725
124,160.87,30,439.7778604200001,61440,493,0.001,0.005695028230547905,1.0,0.9759213346987963,0.8080552220344543,29,0.04126143455505371,21.782197231054305
128,166.89,31,459.77826734999985,63488,495,0.001,0.005863280966877937,1.0,0.9822006300091743,0.790698230266571,30,0.04741610959172249,21.804666411876678
132,173.1,32,479.65350413999994,65536,493,0.001,0.004740368574857712,1.0,0.9790051411837339,0.7801081538200378,31,0.047386616468429565,26.001074355840682
135,176.63,33,488.06181348999996,67584,497,0.001,0.005184238310903311,1.0,0.9886922761797905,0.7652285695075989,32,0.05204717069864273,12.925990784168244
141,178.96,34,495.0966259599999,69632,491,0.001,0.004458209965378046,1.0,0.9508216790854931,0.7612729072570801,33,0.03607294708490372,53.916247946023944
145,184.17,35,514.14174068,71680,492,0.001,0.007389046251773834,1.0,0.9535741917788982,0.7563058733940125,34,0.04839354380965233,45.754130059480666
150,189.47,36,531.6985691399999,73728,490,0.001,0.005662485491484404,1.0,0.9860452115535736,0.7482507228851318,35,0.043833546340465546,16.207131379842757
154,193.85,37,541.05741858,75776,492,0.001,0.005221553612500429,1.0,0.9799501355737448,0.7434147000312805,36,0.04151705279946327,24.83424390554428
159,196.52,38,548.31777031,77824,486,0.001,0.00435882480815053,1.0,0.9359044954180717,0.7380124926567078,37,0.03307871147990227,85.5183244228363
163,202.42,39,567.5095871199999,79872,488,0.001,0.006463769823312759,1.0,0.9570677168667316,0.7385573983192444,38,0.04217511788010597,64.72908333539962
168,209.0,40,586.19831115,81920,487,0.001,0.006430573295801878,1.0,0.9735986404120922,0.7415556907653809,39,0.047039203345775604,31.12799326777458
172,208.69,41,586.47585074,83968,486,0.001,0.004725346341729164,1.0,0.9842136520892382,0.7365419268608093,40,0.04429347813129425,23.72839631140232
176,209.53,42,585.8064422799999,86016,486,0.001,0.005362111609429121,1.0,0.9829781912267208,0.7314136624336243,41,0.04163915291428566,27.588912743330003
181,213.59,43,597.25821444,88064,485,0.001,0.004717296455055475,1.0,0.9800341874361038,0.7228887677192688,42,0.04155712574720383,30.59012926220894
185,219.07,44,614.1034407399999,90112,486,0.001,0.00675284443423152,1.0,0.9874795926734805,0.7200326323509216,43,0.0419166274368763,17.695221695303918
189,224.49,45,631.7683218100001,92160,487,0.001,0.005363259464502335,1.0,0.9758400544524193,0.7216597199440002,44,0.047608550637960434,28.75393791794777
193,227.57,46,640.29474506,94208,487,0.001,0.0062849572859704494,1.0,0.9826861638575792,0.7219241261482239,45,0.04189538210630417,27.985239163041115
197,231.19,47,649.09673988,96256,488,0.001,0.006440015975385904,1.0,0.9800014644861221,0.7283711433410645,46,0.041850294917821884,32.14055131077767
200,234.49,48,661.2828824100001,98304,489,0.001,0.0060782223008573055,1.0,0.9077377021312714,0.7236188054084778,47,0.057839132845401764,135.18787381649017
205,236.3,49,668.91096899,100352,489,0.001,0.008562634699046612,1.0,0.9610635340213776,0.7268950343132019,48,0.03447346016764641,75.79720890522003
208,240.27,50,681.3542545200002,102400,490,0.001,0.008152364753186703,1.0,0.9391048401594162,0.7181565165519714,49,0.05385824292898178,118.67882926464081
212,240.38,51,680.7771498000001,104448,492,0.001,0.006352023687213659,1.0,0.9863545056432486,0.7205044627189636,50,0.055387187749147415,19.481766444444656
216,243.05,52,689.06316307,106496,491,0.001,0.006821381393820047,1.0,0.9602167904376984,0.7119474411010742,51,0.02919331192970276,45.004855155944824
220,246.9,53,700.6389436499999,108544,493,0.001,0.005917465779930353,1.0,0.9878840744495392,0.7125885486602783,52,0.05230818688869476,15.840236511826514
224,248.33,54,708.2521616899998,110592,492,0.001,0.0077051203697919846,1.0,0.9475908987224102,0.7040917277336121,53,0.045948147773742676,88.91262508034706
228,245.23,55,702.6000744799999,112640,493,0.001,0.0069772410206496716,1.0,0.9794494211673737,0.7088498473167419,54,0.04580613225698471,25.97759519815445
234,245.05,56,704.7990436099999,114688,489,0.001,0.006417360156774521,1.0,0.9227727577090263,0.6969366669654846,55,0.04775767773389816,105.31996819972991
238,244.74,57,705.8927189000001,116736,489,0.001,0.00681873457506299,1.0,0.9856409011408687,0.6920056343078613,56,0.049869149923324585,19.622043523192406
242,242.34,58,701.90235003,118784,490,0.001,0.006659261882305145,1.0,0.9884931845590472,0.6892879605293274,57,0.057312965393066406,24.621763008832932
246,247.05,59,717.7980827300001,120832,489,0.001,0.005884403828531504,1.0,0.9692740440368652,0.6855061650276184,58,0.047976188361644745,53.52790188789368
250,252.13,60,734.1627886599999,122880,490,0.001,0.006849335040897131,1.0,0.9850875828415155,0.6855165958404541,59,0.04692133516073227,22.735511618852616
256,260.34,61,760.66315703,124928,487,0.001,0.005747700575739145,1.0,0.9685978107154369,0.676825761795044,60,0.03408085182309151,87.37676436901093
260,260.05,62,760.8278809900002,126976,487,0.001,0.007089462596923113,1.0,0.991134830750525,0.676138162612915,61,0.06362725049257278,12.802807930111886
265,263.04,63,772.6647996300001,129024,486,0.001,0.005778083112090826,1.0,0.9925693916156888,0.6767765879631042,62,0.05331318825483322,10.017500764131546
269,265.25,64,781.4751978300001,131072,486,0.001,0.0055162045173347,1.0,0.9929176289588213,0.6800398230552673,63,0.04095117002725601,13.042553529143333
274,269.53,65,795.79863719,133120,485,0.001,0.005769011098891497,1.0,0.9936475763097405,0.6656123995780945,64,0.05224451795220375,12.131487435102462
277,271.0,66,801.26712597,135168,486,0.001,0.005898119881749153,1.0,0.9925078698433936,0.655857264995575,65,0.043483439832925797,15.19212698340416
282,269.47,67,796.2030745499999,137216,485,0.001,0.005086209159344435,1.0,0.9500208832323551,0.6521375775337219,66,0.03826398402452469,82.92962450385093
285,275.59,68,814.40894086,139264,487,0.001,0.008857660926878452,1.0,0.9853582549840212,0.6412038207054138,67,0.05479203164577484,32.09877870678902
291,276.91,69,817.7876302200001,141312,484,0.001,0.006266826298087835,1.0,0.991857691667974,0.6332108378410339,68,0.047894187271595,19.955837243795393
295,282.44,70,836.5259580299999,143360,485,0.001,0.006916859652847052,1.0,0.9918057881295681,0.6372719407081604,69,0.05527452379465103,15.58681125640869
300,283.69,71,838.3091232599999,145408,483,0.001,0.006570930127054453,1.0,0.994636120274663,0.6433073282241821,70,0.0649169534444809,10.41426141858101
305,289.87,72,857.1201524599998,147456,482,0.001,0.004250808153301477,1.0,0.9800342805683613,0.6412433981895447,71,0.049314554780721664,18.76599614471197
308,291.4,73,864.9440808799998,149504,484,0.001,0.0064878216944634914,1.0,0.9895632453262806,0.6412582993507385,72,0.04672744497656822,12.368993145227432
314,290.54,74,865.4711158900001,151552,481,0.001,0.007242853287607431,1.0,0.995010485406965,0.6393051743507385,73,0.046119946986436844,9.387337717413903
319,292.91,75,872.3846526,153600,481,0.001,0.004925218410789967,1.0,0.995706875808537,0.6323469281196594,74,0.052151571959257126,8.877351921796798
323,298.24,76,886.48150354,155648,480,0.001,0.006283918395638466,1.0,0.995550193823874,0.6272303462028503,75,0.059407174587249756,6.60428516715765
327,299.15,77,889.07702593,157696,482,0.001,0.006083012092858553,1.0,0.9957691011950374,0.6177592873573303,76,0.05706823989748955,7.042030835151673
331,301.87,78,900.3610113600001,159744,481,0.001,0.006328735500574112,1.0,0.9954895139671862,0.6115216612815857,77,0.05681459978222847,6.852143621444702
335,309.67,79,925.9036928100002,161792,482,0.001,0.005314429756253958,1.0,0.9780897237360477,0.6081542372703552,78,0.02447148784995079,31.268409222364426
