rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective,train/explained_variance,train/n_updates,train/std,train/value_loss,train/learning_rate
20.656565656565657,17.765691636363638,1009,2048,1,2,,,,,,,,
25.37,31.15384067,523,4096,2,7,0.00849644374102354,1.0,0.06031523644924164,-0.002635478973388672,1,1.0037827491760254,4.356723946332932,0.001
36.37,51.49018473,526,6144,3,11,0.008818627335131168,1.0,0.07000648230314255,0.5310765206813812,2,0.9798824191093445,11.411430266499519,0.001
41.84,67.68430256,505,8192,4,16,0.008062473498284817,1.0,0.07478629797697067,0.6023099720478058,3,0.9719786643981934,20.42176228761673,0.001
47.55,87.21049156,516,10240,5,19,0.007890000939369202,1.0,0.06730855256319046,0.2728848457336426,4,0.9697248339653015,31.513071882724763,0.001
57.95,114.35720956000002,454,12288,6,27,0.008255998603999615,1.0,0.06381604820489883,0.4284873604774475,5,0.9497087597846985,28.41046336889267,0.001
66.35,135.21399781999997,466,14336,7,30,0.0074928379617631435,1.0,0.03992375731468201,0.14522594213485718,6,0.9283031821250916,46.02126206159592,0.001
72.83,153.48089313,441,16384,8,37,0.007563878316432238,1.0,0.05023074150085449,0.49585646390914917,7,0.9283879399299622,32.30674685239792,0.001
80.69,175.41520549999993,450,18432,9,40,0.007428651675581932,1.0,0.050728071480989456,0.7531688362360001,8,0.9180505871772766,27.38393827676773,0.001
85.62,190.94458459,456,20480,10,44,0.008285527117550373,1.0,0.05181180685758591,0.9008865877985954,9,0.9134909510612488,11.00837392359972,0.001
88.27,200.53967644000005,455,22528,11,49,0.007486483082175255,1.0,0.047665830701589584,0.9375430047512054,10,0.90313321352005,10.939223328232766,0.001
93.19,216.20685307,463,24576,12,53,0.006264520343393087,1.0,0.04743007943034172,0.9036704078316689,11,0.8993927836418152,21.750738948583603,0.001
99.53,236.05643475000005,446,26624,13,59,0.0072760493494570255,1.0,0.05079580098390579,0.9376081228256226,12,0.8927969932556152,23.1998252928257,0.001
105.06,255.03487103,454,28672,14,63,0.00698002940043807,1.0,0.046854373067617416,0.9398567453026772,13,0.8978413939476013,17.179787838459013,0.001
109.13,266.47209995,437,30720,15,70,0.0057456050999462605,1.0,0.03889446705579758,0.9474650099873543,14,0.9088842868804932,22.542144244909288,0.001
113.04,278.66371832000004,446,32768,16,73,0.00501369358971715,1.0,0.02979496866464615,0.9176382496953011,15,0.9095454216003418,39.10404948592186,0.001
117.34,292.23972017999995,446,34816,17,78,0.006164691876620054,1.0,0.03952760621905327,0.9097933247685432,16,0.8879699110984802,38.718300479650495,0.001
120.65,300.48661895000004,451,36864,18,81,0.006362325046211481,1.0,0.040588729083538055,0.9777791481465101,17,0.8763849139213562,14.057064190506935,0.001
121.55,302.09254810000004,441,38912,19,88,0.006129838060587645,1.0,0.03670942783355713,0.9663848280906677,18,0.8647258281707764,21.811943820118906,0.001
123.18,305.21242815,448,40960,20,91,0.005545054096728563,1.0,0.03647799789905548,0.9682636931538582,19,0.8472601771354675,27.180340057611467,0.001
126.78,315.33507888,447,43008,21,96,0.005250280257314444,1.0,0.041036732494831085,0.9843241609632969,20,0.8413133025169373,8.728857173025608,0.001
130.08,326.96393649000004,447,45056,22,100,0.005674827843904495,1.0,0.048854656517505646,0.9742500279098749,21,0.8406388163566589,14.384256690740585,0.001
132.04,332.90234029,450,47104,23,104,0.0054734013974666595,1.0,0.040764257311820984,0.9529243037104607,22,0.8377840518951416,27.495154222846033,0.001
133.0,337.5094598899999,449,49152,24,109,0.005823267158120871,1.0,0.04835837334394455,0.9823813736438751,23,0.8324675559997559,11.232620529830456,0.001
132.21,338.04099349999996,452,51200,25,113,0.005459731910377741,1.0,0.05310140550136566,0.9768816959112883,24,0.8322749137878418,14.467037636041642,0.001
131.79,337.62279592000004,448,53248,26,118,0.005855374503880739,1.0,0.045016031712293625,0.9616562686860561,25,0.8160244822502136,23.104685723781586,0.001
130.66,336.09268217,448,55296,27,123,0.005616334732621908,1.0,0.05668492242693901,0.9875302463769913,26,0.805626630783081,10.677452319860459,0.001
130.24,335.55184179,450,57344,28,127,0.0046366057358682156,1.0,0.04711884632706642,0.9791132248938084,27,0.8019495010375977,18.21262127161026,0.001
131.3,340.27001428000005,446,59392,29,133,0.004493124317377806,1.0,0.037508681416511536,0.9476704299449921,28,0.7978073954582214,42.57802208065986,0.001
133.62,350.0467997200001,448,61440,30,136,0.004242309834808111,1.0,0.04206612706184387,0.9756039306521416,29,0.7931487560272217,20.842486947774887,0.001
136.24,358.02228342,451,63488,31,140,0.006372172385454178,1.0,0.06183428317308426,0.9798327591270208,30,0.7884883880615234,25.10685289502144,0.001
139.15,369.34531854,445,65536,32,147,0.00644974410533905,1.0,0.05152080953121185,0.9505184404551983,31,0.7866286635398865,61.29557654261589,0.001
144.57,390.56379971,449,67584,33,150,0.005204430781304836,1.0,0.04831167310476303,0.9310125932097435,32,0.780749499797821,89.91642029285431,0.001
150.27,411.28033123,449,69632,34,154,0.005517281126230955,1.0,0.05490775406360626,0.9802820533514023,33,0.7827690243721008,21.781114879250527,0.001
154.42,425.1944738899999,451,71680,35,158,0.006420295685529709,1.0,0.059292085468769073,0.9854430528357625,34,0.7761509418487549,20.22380883693695,0.001
160.18,446.52614358,451,73728,36,163,0.004970261827111244,1.0,0.048117559403181076,0.9695967454463243,35,0.7632166743278503,33.18033683300018,0.001
