time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/kl_divergence_loss,train/value_loss,train/std,train/n_updates,train/learning_rate,train/policy_objective,train/is_line_search_success,train/explained_variance
1,1033,17.16,12.15853017,1,2048,,,,,,,,
2,88,24.48,24.207410709999998,46,4096,0.008308922871947289,2.5644206374883654,0.9930651187896729,1,0.001,0.04938468337059021,1.0,-0.06999742984771729
3,76,32.87,45.027437410000005,80,6144,0.008942656219005585,6.939227825403213,0.9760521054267883,2,0.001,0.0808764174580574,1.0,0.5034077763557434
4,65,42.08,68.52029850999999,124,8192,0.008696171455085278,19.915376794338226,0.956312358379364,3,0.001,0.06906350702047348,1.0,0.4815714359283447
5,64,50.8,93.83005793000001,158,10240,0.007874873466789722,26.545138305425645,0.9366562962532043,4,0.001,0.06524541229009628,1.0,0.5176042318344116
6,65,59.26,117.34785343,188,12288,0.008683980442583561,30.64979695677757,0.9234552383422852,5,0.001,0.06747385859489441,1.0,0.276796817779541
7,64,67.55,140.73501273,222,14336,0.006909955758601427,42.53702335953712,0.9153031706809998,6,0.001,0.03835674375295639,1.0,0.18927741050720215
8,61,74.91,161.19998926,268,16384,0.005315676797181368,30.01752365529537,0.9105955958366394,7,0.001,0.029256444424390793,1.0,0.488783061504364
9,58,81.09,177.06574227000004,314,18432,0.006058648228645325,10.073444871604442,0.9296503067016602,8,0.001,0.027015099301934242,1.0,0.8160621970891953
10,58,84.7,188.10460247000003,350,20480,0.006194754038006067,16.93457900881767,0.9247705340385437,9,0.001,0.03532770276069641,1.0,0.8752617835998535
11,56,86.87,195.61788360999998,397,22528,0.0061927251517772675,14.311649054288864,0.9080283641815186,10,0.001,0.033232737332582474,1.0,0.9154568687081337
12,55,88.32,200.98121770999998,440,24576,0.007447691634297371,21.116155111789702,0.9060141444206238,11,0.001,0.04827803373336792,1.0,0.9120340421795845
13,55,91.82,212.02902967000003,483,26624,0.008261033333837986,21.968155381083488,0.8932088017463684,12,0.001,0.055031925439834595,1.0,0.944402452558279
14,54,95.95,224.67889884000004,528,28672,0.0075607928447425365,9.251942740380764,0.8953614234924316,13,0.001,0.06534456461668015,1.0,0.9808891750872135
15,54,100.58,238.61311740999997,567,30720,0.006798250135034323,11.778758525848389,0.8869152069091797,14,0.001,0.04329816624522209,1.0,0.979775745421648
16,53,104.82,250.30194644,616,32768,0.006906177382916212,9.751436068117618,0.8802351951599121,15,0.001,0.05044068396091461,1.0,0.9830040223896503
17,53,109.21,262.43835178999996,655,34816,0.006281972397118807,23.58324846625328,0.872161865234375,16,0.001,0.03706401214003563,1.0,0.9554593786597252
18,52,113.27,272.66208690999997,701,36864,0.006407812237739563,6.641508769989014,0.8489938378334045,17,0.001,0.04868799075484276,1.0,0.987450503744185
19,52,116.22,280.08957062,736,38912,0.006550751160830259,6.785984298586845,0.8417297005653381,18,0.001,0.042622048407793045,1.0,0.9901666212826967
20,53,117.1,280.0444874100001,772,40960,0.005634585861116648,6.819643804430962,0.8271186351776123,19,0.001,0.036037083715200424,1.0,0.989482332020998
21,52,119.06,282.70296586000006,822,43008,0.005781316664069891,26.98788875043392,0.8171300888061523,20,0.001,0.03315217047929764,1.0,0.9671788774430752
22,51,120.86,285.99413739999994,870,45056,0.004761362448334694,19.94712707400322,0.8092294335365295,21,0.001,0.03089228644967079,1.0,0.9747156072407961
23,52,122.27,287.34549578,905,47104,0.004608428571373224,6.643518251180649,0.8037831783294678,22,0.001,0.04505680501461029,1.0,0.9912132918834686
24,51,122.98,287.72955522,951,49152,0.005672996863722801,5.7066427141427996,0.7890745997428894,23,0.001,0.04456386715173721,1.0,0.9925018562935293
25,51,123.68,287.53459392999997,996,51200,0.005179182160645723,7.427943456172943,0.7886369824409485,24,0.001,0.04043911024928093,1.0,0.9909941060468554
26,51,125.78,292.84835054,1035,53248,0.006221780087798834,5.256716813147068,0.7916987538337708,25,0.001,0.048239048570394516,1.0,0.9938024808652699
27,51,126.54,294.12736924,1073,55296,0.005104995798319578,27.312448546290398,0.7958264946937561,26,0.001,0.047010842710733414,1.0,0.9591414481401443
28,51,128.67,300.03310322,1107,57344,0.005292702466249466,14.119234374165535,0.7912408709526062,27,0.001,0.04867776855826378,1.0,0.9744792710989714
29,51,130.86,306.58839965,1153,59392,0.00531283812597394,18.23827832043171,0.7810654640197754,28,0.001,0.04646477475762367,1.0,0.9641200453042984
30,51,132.5,313.03568137,1188,61440,0.006247926037758589,15.571869987249375,0.7714112401008606,29,0.001,0.05398924648761749,1.0,0.969529926776886
31,51,135.82,324.62071863999995,1225,63488,0.006449529435485601,13.024543422460557,0.7650627493858337,30,0.001,0.06037478148937225,1.0,0.9804229754954576
32,51,137.25,330.5320233,1268,65536,0.006622886750847101,12.25677711069584,0.7489748001098633,31,0.001,0.0597841814160347,1.0,0.9858561316505075
33,51,139.69,340.8355681200001,1307,67584,0.005968138575553894,45.036867731809615,0.7398301959037781,32,0.001,0.04241914302110672,1.0,0.9571907632052898
34,51,142.59,351.18186381,1340,69632,0.006224889773875475,25.789114546775817,0.739860475063324,33,0.001,0.04032735526561737,1.0,0.9673162959516048
35,51,145.04,359.24847995999994,1389,71680,0.0054647293873131275,15.586725279688835,0.7396801114082336,34,0.001,0.055453307926654816,1.0,0.9737032689154148
36,51,147.78,369.1630636700001,1430,73728,0.007156465668231249,32.46342410445213,0.742813766002655,35,0.001,0.04219881072640419,1.0,0.9670010842382908
37,51,152.13,384.25793386000004,1473,75776,0.005101384129375219,105.28867982029915,0.7374265789985657,36,0.001,0.035245560109615326,1.0,0.8844439685344696
38,51,157.13,402.35297009000004,1517,77824,0.006561229005455971,42.94333394765854,0.7396435141563416,37,0.001,0.057825587689876556,1.0,0.9486840330064297
39,51,161.16,418.5228162,1558,79872,0.006316503509879112,15.757530298829078,0.7345935702323914,38,0.001,0.050036992877721786,1.0,0.9806461613625288
40,51,167.01,439.43347627,1593,81920,0.006074037402868271,16.158321607112885,0.7279742360115051,39,0.001,0.04766157269477844,1.0,0.9805964231491089
41,51,171.23,454.70762213999996,1635,83968,0.0072656311094760895,14.399648851156234,0.7108335494995117,40,0.001,0.0454096719622612,1.0,0.9841144420206547
42,51,172.78,460.48203873,1674,86016,0.004664958920329809,19.280398193001748,0.7045631408691406,41,0.001,0.052961528301239014,1.0,0.9802135713398457
43,51,176.46,475.49541615000004,1714,88064,0.005590882617980242,34.29487534761429,0.7049219608306885,42,0.001,0.04376847669482231,1.0,0.9677890464663506
44,51,177.31,479.29265896,1746,90112,0.005399161949753761,61.16456214785576,0.6989684104919434,43,0.001,0.04254903644323349,1.0,0.9627119265496731
45,51,179.88,490.4207679,1776,92160,0.006768181454390287,32.780964362621305,0.6991288065910339,44,0.001,0.048092588782310486,1.0,0.977210259065032
46,51,178.43,486.7635668,1813,94208,0.005500601138919592,33.08118317127228,0.6978499889373779,45,0.001,0.04174972325563431,1.0,0.9789276737719774
47,52,181.43,495.78765560999994,1846,96256,0.005851644556969404,36.00144348740578,0.6955253481864929,46,0.001,0.04778381064534187,1.0,0.9766016416251659
48,52,180.19,488.97382749,1878,98304,0.006749578285962343,20.101423969864847,0.6879366040229797,47,0.001,0.052371248602867126,1.0,0.9837416335940361
49,52,180.07,488.0697940900001,1911,100352,0.005236823111772537,48.28360233306885,0.6875360608100891,48,0.001,0.04644926264882088,1.0,0.9573561698198318
50,52,178.91,482.6016342299999,1955,102400,0.00537915388122201,65.06245521306991,0.6827282905578613,49,0.001,0.048967476934194565,1.0,0.9577627144753933
51,52,180.56,487.92577671,2000,104448,0.007095929700881243,115.15429379940034,0.6812095046043396,50,0.001,0.059818558394908905,1.0,0.9219573065638542
52,52,180.49,489.20243206,2045,106496,0.006435511168092489,35.4117312669754,0.6825283169746399,51,0.001,0.04995964094996452,1.0,0.9774309527128935
