% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=792272, Wed Jul 13 18:05:17 2022, <python>{}</python>
1 10 0.4615149732709669 1.0000437509570452 2.002123089495149 2.0021230894951492e+00 3.3457597723961072 4.64366927325465   
2 20 0.5165739876971127 1.1402572853749762 1.1082065308294933 1.1082065308294933e+00 2.3526928024498828 2.9102992082155845   
3 30 0.5920979197525716 1.3514824189269679 0.8487016151888636 8.4870161518886356e-01 1.485619022796162 2.1836438077129223   
4 40 0.7272715961826526 1.5976802534258199 -0.19909658562211385 -1.9909658562211385e-01 1.0065470700658894 2.4449947915687895   
5 50 0.8313235807330993 1.7587937659035842 -0.5691847591390207 -5.6918475913902067e-01 0.38529280453753456 4.987142184086828   
6 60 1.003121413074476 1.863670798889388 -0.9098541155988172 -9.0985411559881724e-01 0.6133397663574005 2.0561579440823925   
7 70 1.0837685556146333 1.9107734118120532 -0.920522769612742 -9.2052276961274204e-01 0.11637676086687276 2.3153178852541965   
8 80 1.0957395278574609 1.9092548801313138 -0.920522769612742 -5.2172368947704362e-01 -0.15441651584623445 2.5892123463141417   
9 90 1.1470623351077902 1.982799385407283 -0.920522769612742 -7.3399854867347614e-01 -0.26851863072340265 0.2713298998712298   
10 100 1.1591738601025758 1.9692326951609125 -1.1543039164601763 -1.1543039164601763e+00 -0.5583799269242159 -0.06360064240662161   
11 110 1.016832837864735 1.9728963498546321 -1.1543039164601763 -9.7193871206612725e-01 -0.5997741670030643 0.0624088001831849   
12 120 0.9647134764283756 2.098360139089929 -1.1543039164601763 -1.0845938563265518e+00 -0.45066493192079615 1.2633707418074587   
13 130 1.0119789997479798 2.095969544728325 -1.1691915798343413 -1.1691915798343413e+00 -0.7097057980743522 -0.3690662476473031   
14 140 0.9040073302399264 2.1868327242666035 -1.1691915798343413 -1.0290206005966087e+00 -0.3885361820029771 0.606581918541627   
15 150 0.8503135686893196 2.228399333280135 -1.1778488889569905 -1.1778488889569905e+00 -0.8471316344770905 -0.10590831315535043   
16 160 0.7832427151256194 2.333361607280025 -1.2114472274082337 -1.2114472274082337e+00 -0.9800394664534977 -0.4096383545878819   
17 170 0.7446529876987612 2.4292778710150458 -1.2114472274082337 -1.0867591048525171e+00 -0.7637279121848631 -0.38396764609987266   
18 180 0.7782858361955111 2.491835920877217 -1.2114472274082337 -1.1398153389180243e+00 -0.9506802526086076 -0.521207358200898   
19 190 0.8208643703524613 2.6201064307216546 -1.2114472274082337 -1.0011553097275245e+00 -0.8792478497367556 -0.42768465298672464   
20 200 0.7866140863167376 2.653000163738939 -1.256975533003906 -1.2569755330039061e+00 -0.9059857411524965 -0.717001369643912   
21 210 0.8119792127073777 2.753268733200688 -1.256975533003906 -1.2166350163171213e+00 -0.9531791215942977 -0.3654441526478578   
22 220 0.6744510305850916 2.7435602393274725 -1.256975533003906 -1.0990382362295636e+00 -0.9302642090884709 -0.22145295090811312   
23 230 0.6373371745720137 2.8454367375637433 -1.256975533003906 -1.1278990875629247e+00 -0.843493582441863 -0.28764090310006596   
24 240 0.5923143401252912 2.778430924160627 -1.2593849234703693 -1.2593849234703693e+00 -1.0780345995400669 -0.9719403832812077   
25 250 0.5334016221360327 2.8789495440617356 -1.2593849234703693 -1.1704446321243629e+00 -0.8947934319935944 -0.6026444688524332   
26 260 0.5366730581827183 2.9013967911752125 -1.2593849234703693 -1.2463241301455428e+00 -1.101444321145024 -0.9401366647374729   
27 270 0.4752860597711364 3.040610265783783 -1.3054762407614018 -1.3054762407614018e+00 -1.1524246688749453 -0.9907154353296795   
