time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/policy_objective,train/kl_divergence_loss,train/learning_rate,train/explained_variance,train/is_line_search_success,train/std,train/n_updates,train/value_loss
169,98304,188.59,579,48,593.4276178900001,0.038295578211545944,0.005358756985515356,0.001,0.9609848484396935,1.0,0.6389121413230896,47,104.7214471578598
173,100352,189.56,578,49,597.18131127,0.04523666203022003,0.005706742871552706,0.001,0.9795127045363188,1.0,0.636478841304779,48,34.19043989181519
177,102400,190.12,577,50,601.01352093,0.038981448858976364,0.006179817020893097,0.001,0.9583945050835609,1.0,0.632462203502655,49,62.587172812223436
180,104448,191.76,577,51,604.73293843,0.049888405948877335,0.006863532122224569,0.001,0.9846937451511621,1.0,0.6302723288536072,50,30.09875071644783
184,106496,192.55,577,52,610.12437473,0.05084802582859993,0.0066793072037398815,0.001,0.9797504376620054,1.0,0.629970133304596,51,40.70015749335289
188,108544,193.91,576,53,616.91229333,0.04070345312356949,0.006932215765118599,0.001,0.9628750123083591,1.0,0.6301730871200562,52,96.80673388242721
191,110592,190.66,576,54,607.3950406600001,0.046187933534383774,0.006730338092893362,0.001,0.9807869549840689,1.0,0.630116879940033,53,38.08043714761734
195,112640,190.36,575,55,607.08691093,0.05002088099718094,0.006172820460051298,0.001,0.9420258700847626,1.0,0.6273447871208191,54,142.65215598344804
199,114688,190.19,575,56,609.6184887200001,0.03986597806215286,0.004652166273444891,0.001,0.9511105827987194,1.0,0.6216904520988464,55,112.0142444729805
202,116736,189.7,576,57,606.81301138,0.05839511379599571,0.007236245553940535,0.001,0.9900605352595448,1.0,0.6167842745780945,56,24.045609986782075
205,118784,188.41,577,58,607.13581746,0.047968193888664246,0.007377615198493004,0.001,0.99144022539258,1.0,0.608165442943573,57,18.245045214891434
208,120832,186.71,579,59,601.80093191,0.05973189324140549,0.007574991788715124,0.001,0.9701727237552404,1.0,0.6025801301002502,58,58.54091867208481
212,122880,186.49,579,60,606.61192571,0.0552515983581543,0.005928564816713333,0.001,0.9758486934006214,1.0,0.6026381254196167,59,32.39830300807953
215,124928,186.71,578,61,609.76134224,0.05915519967675209,0.006356847006827593,0.001,0.9925023131072521,1.0,0.5982903838157654,60,20.216127243638038
219,126976,184.4,578,62,600.182742,0.0529157817363739,0.006718386430293322,0.001,0.991157652810216,1.0,0.589207649230957,61,17.240360656380652
222,129024,188.7,579,63,618.0647036,0.05427776649594307,0.00649194186553359,0.001,0.9835406430065632,1.0,0.5891284346580505,62,31.70101390480995
226,131072,189.31,579,64,622.30640619,0.07270731031894684,0.008617518469691277,0.001,0.9929045583121479,1.0,0.5865351557731628,63,18.03536916077137
229,133120,187.78,579,65,617.2299359599999,0.04865582659840584,0.00785384327173233,0.001,0.9888590089976788,1.0,0.5745782256126404,64,26.011304485797883
233,135168,188.17,578,66,619.0117900299999,0.04838182404637337,0.00827756803482771,0.001,0.9824216775596142,1.0,0.5713000893592834,65,46.3553787112236
236,137216,188.15,578,67,617.60784314,0.04723763465881348,0.006663826759904623,0.001,0.9926920253783464,1.0,0.567668616771698,66,20.41031637787819
240,139264,190.37,580,68,627.77236709,0.04482518509030342,0.005697122309356928,0.001,0.9801980294287205,1.0,0.5664454102516174,67,49.78235211372375
243,141312,189.0,581,69,624.06151919,0.04678677022457123,0.006070030853152275,0.001,0.9883021442219615,1.0,0.5582075715065002,68,26.042042899131776
246,143360,188.91,582,70,623.56110338,0.04906044155359268,0.00914692971855402,0.001,0.9912650426849723,1.0,0.5579443573951721,69,29.04015763103962
250,145408,190.11,581,71,630.3764351799999,0.05385569855570793,0.00972676370292902,0.001,0.9825637899339199,1.0,0.5533028841018677,70,43.419632476568225
252,147456,189.98,582,72,628.7448212800001,0.04874101281166077,0.006763564422726631,0.001,0.9922903464175761,1.0,0.5442021489143372,71,20.193416368961334
256,149504,190.91,583,73,633.36472111,0.05135786533355713,0.0071858628652989864,0.001,0.9928020066581666,1.0,0.5358657240867615,72,23.262016731500626
259,151552,192.08,584,74,638.10421682,0.05545062571763992,0.007976197637617588,0.001,0.9905925625935197,1.0,0.5328108668327332,73,24.398322957754136
262,153600,194.43,585,75,647.8649535899999,0.0656779408454895,0.008956952951848507,0.001,0.9912125589326024,1.0,0.5274509787559509,74,20.000041231513023
265,155648,195.88,586,76,655.46499915,0.05405678227543831,0.0065293642692267895,0.001,0.9906980935484171,1.0,0.5295197367668152,75,29.965324503183364
269,157696,196.08,585,77,655.2276921800001,0.0674344152212143,0.008472800254821777,0.001,0.9933423562906682,1.0,0.5229009985923767,76,18.690158224105836
272,159744,197.38,586,78,660.6842147300001,0.05579371005296707,0.007694100961089134,0.001,0.9883391922339797,1.0,0.5267783999443054,77,33.37031753361225
275,161792,197.94,586,79,661.470488,0.060353875160217285,0.009456309489905834,0.001,0.9878172660246491,1.0,0.5330541729927063,78,33.805775079131124
278,163840,198.76,587,80,663.34519264,0.050609443336725235,0.006832245737314224,0.001,0.9908397877588868,1.0,0.5355740785598755,79,26.439438372850418
282,165888,197.08,587,81,656.70276091,0.04780162125825882,0.008699850179255009,0.001,0.9918321585282683,1.0,0.5425679683685303,80,29.40334540605545
285,167936,197.69,587,82,658.6665696000001,0.03275885432958603,0.006894293706864119,0.001,0.9676585905253887,1.0,0.5406709313392639,81,87.54528180360793
289,169984,197.29,587,83,658.6657643899999,0.05483327805995941,0.0062536573968827724,0.001,0.9886852772906423,1.0,0.5332892537117004,82,27.466206830739974
292,172032,197.55,587,84,656.4790982500001,0.038089774549007416,0.0065179746598005295,0.001,0.9790174402296543,1.0,0.5309110283851624,83,61.18245560526848
296,174080,198.04,587,85,655.7912535099999,0.0575622096657753,0.007706424221396446,0.001,0.9889560854062438,1.0,0.5274102091789246,84,25.862449198961258
299,176128,198.51,588,86,657.4708929999999,0.049416497349739075,0.006914354860782623,0.001,0.984562560915947,1.0,0.5229262709617615,85,41.92369546294212
302,178176,198.58,588,87,656.1709509699999,0.07157745957374573,0.007381462957710028,0.001,0.9901890885084867,1.0,0.5159613490104675,86,29.47293074131012
306,180224,199.01,588,88,654.95410969,0.06142551824450493,0.009134570136666298,0.001,0.9911587964743376,1.0,0.5187039375305176,87,24.518305614590645
309,182272,200.3,588,89,656.68939168,0.05571410804986954,0.009657311253249645,0.001,0.9709913562983274,1.0,0.5154045224189758,88,58.49881895780563
312,184320,200.62,589,90,655.5001396900001,0.06567125022411346,0.008443611674010754,0.001,0.984713482670486,1.0,0.5147532820701599,89,41.142337650060654
315,186368,202.94,589,91,661.84978235,0.052416108548641205,0.006342966575175524,0.001,0.9856980331242085,1.0,0.517486035823822,90,45.52782663702965
319,188416,203.31,588,92,661.32681682,0.06403225660324097,0.007388434838503599,0.001,0.9889949914067984,1.0,0.5230624675750732,91,29.202225863933563
324,190464,204.32,586,93,660.00904834,0.0639103502035141,0.007721032947301865,0.001,0.9859622111544013,1.0,0.5216368436813354,92,40.59518969655037
327,192512,204.99,587,94,659.01742008,0.05225543677806854,0.008240465074777603,0.001,0.9802578575909138,1.0,0.5175313353538513,93,67.8837552189827
331,194560,205.43,587,95,660.5022184899999,0.09245021641254425,0.008361835032701492,0.001,0.9848858704790473,1.0,0.5188738107681274,94,42.85509389638901
334,196608,203.81,587,96,651.26500374,0.042441077530384064,0.006415655370801687,0.001,0.970278911292553,1.0,0.5130117535591125,95,96.53375942707062
338,198656,204.02,587,97,650.4524848399998,0.05667655169963837,0.007865218445658684,0.001,0.9127302467823029,1.0,0.5086464285850525,96,138.90959634780884
341,200704,205.0,587,98,655.63364252,0.046492692083120346,0.007329970598220825,0.001,0.9559502750635147,1.0,0.5083925127983093,97,138.35508128404618
344,202752,204.06,588,99,655.4733370999999,0.05732661485671997,0.007803425192832947,0.001,0.9751517400145531,1.0,0.5019153356552124,98,68.87609176039696
347,204800,203.84,588,100,653.26976971,0.06284082680940628,0.00803657528012991,0.001,0.9873426668345928,1.0,0.5012049078941345,99,30.580085104703905
350,206848,204.76,589,101,659.4652983199999,0.06447850912809372,0.007800325285643339,0.001,0.9738592281937599,1.0,0.5101718306541443,100,54.62660461068153
354,208896,204.73,589,102,657.8787151,0.06698654592037201,0.0069741555489599705,0.001,0.9858395038172603,1.0,0.5084868669509888,101,33.41521422863006
357,210944,205.07,589,103,659.54868905,0.07890893518924713,0.009259532205760479,0.001,0.9881528504192829,1.0,0.5069180727005005,102,28.338095876574517
361,212992,206.04,588,104,664.04363227,0.05589132755994797,0.007280098740011454,0.001,0.9878203524276614,1.0,0.505638837814331,103,27.67514442205429
365,215040,206.63,588,105,669.65402089,0.052315957844257355,0.007537627127021551,0.001,0.9852892402559519,1.0,0.5032379627227783,104,38.67999558448791
368,217088,207.06,588,106,674.7480032799999,0.03764942288398743,0.00803044531494379,0.001,0.9740492384880781,1.0,0.5055485963821411,105,73.8536228120327
372,219136,206.24,588,107,671.7715894299998,0.05643737316131592,0.007052320521324873,0.001,0.9832514189183712,1.0,0.5035841464996338,106,43.929409778118135
375,221184,205.08,588,108,667.19737025,0.060843728482723236,0.00872370321303606,0.001,0.9588092751801014,1.0,0.4966159164905548,107,95.06239864826202
379,223232,206.1,588,109,666.46560265,0.050536468625068665,0.006490359548479319,0.001,0.9542754702270031,1.0,0.48928573727607727,108,123.07633850574493
383,225280,207.15,587,110,671.0053260000001,0.07424333691596985,0.008654157631099224,0.001,0.9853647947311401,1.0,0.4869309663772583,109,32.474581986665726
387,227328,206.48,587,111,664.7161761399999,0.10681763291358948,0.007475243881344795,0.001,0.9897783054038882,1.0,0.4823215901851654,110,22.103021094202994
391,229376,207.18,586,112,667.2970087299999,0.05167021602392197,0.009214650839567184,0.001,0.9599623642861843,1.0,0.48492535948753357,111,94.388955950737
394,231424,207.04,586,113,666.5887546099999,0.05645633116364479,0.007960674352943897,0.001,0.9908525738865137,1.0,0.4816543757915497,112,25.265064573287965
398,233472,206.35,586,114,662.51631757,0.05568179115653038,0.008145700208842754,0.001,0.9919742550700903,1.0,0.4855513572692871,113,23.559798353910445
401,235520,206.66,586,115,660.30533541,0.06881147623062134,0.007572800386697054,0.001,0.992595860734582,1.0,0.4868166744709015,114,21.246512377262114
405,237568,209.04,585,116,666.39027386,0.041123077273368835,0.009173239581286907,0.001,0.9770014397799969,1.0,0.49339842796325684,115,80.26432901620865
409,239616,213.76,584,117,686.2241845799998,0.053987085819244385,0.007464772555977106,0.001,0.9884370565414429,1.0,0.4860137701034546,116,23.2604101896286
413,241664,216.28,584,118,698.15406502,0.14060059189796448,0.006888992618769407,0.001,0.9888277454301715,1.0,0.4886370599269867,117,25.600123864412307
417,243712,215.68,583,119,694.5686877600002,0.06161326915025711,0.007500078529119492,0.001,0.9848210578784347,1.0,0.491795152425766,118,39.786391395330426
421,245760,215.82,583,120,697.7870166099998,0.037928346544504166,0.009896094910800457,0.001,0.9519202560186386,1.0,0.49011731147766113,119,68.30456256866455
